Syntax version=4
Wed Jul 04 03:45:08 2018
Starting process (3312812 clocks per sec)

LogRawData=false
VarHeader=1
D:		ADC_Value	LoadDataAcquired	iServoLoadRate	iAccSpd	isotonicLoad	Kd_term	Ki_term	Kp_term	control	lServoPulseAddCnt	iCurTonicSpd	lTotalPositionCount	!LoadDataAcquired_10!	!isotonicLoad_100!
D:	time(ms)	(0x20001220,2)	(0x20001148,4)	(0x20001296,3)	(0x200011a8,5)	(0x2000126a,3)	(0x200010e8,7)	(0x200010e0,7)	(0x200010d8,7)	(0x200010f0,7)	(0x200011b4,5)	(0x200011f0,5)	(0x200011ac,5)	!LoadDataAcquired/100!	!isotonicLoad/100!
D:	0.07	2043	9110	20	222	9300	-0.000000	-131.061000	-97.500000	-228.561000	0	-222	-114171	91.1	93.0
D:	5.62	1771	9100	20	228	9300	-0.000000	-131.112000	-102.000000	-233.112000	0	-228	-114399	91.0	93.0
D:	11.00	1712	9089	20	233	9300	-0.000000	-131.165250	-106.500000	-237.665250	0	-233	-114632	90.89	93.0
D:	16.38	1538	9080	23	237	9300	-0.000000	-131.220750	-111.000000	-242.220750	0	-242	-114869	90.8	93.0
D:	21.74	2008	9072	23	245	9300	-0.000000	-131.278000	-114.500000	-245.778000	0	-245	-115356	90.72	93.0
D:	27.11	1752	9063	23	250	9300	-0.000000	-131.337500	-119.000000	-250.337500	0	-250	-115606	90.63	93.0
D:	32.49	1770	9053	23	254	9300	-0.000000	-131.399250	-123.500000	-254.899250	0	-254	-115860	90.53	93.0
D:	37.86	1747	9045	23	258	9300	-0.000000	-131.528250	-131.000000	-262.528250	0	-258	-116118	90.45	93.0
D:	43.23	1726	9037	23	262	9300	-0.000000	-131.595750	-135.000000	-266.595750	0	-262	-116380	90.37	93.0
D:	48.74	1960	9028	23	266	9300	-0.000000	-131.665000	-138.500000	-270.165000	0	-266	-116646	90.28	93.0
D:	54.11	1756	9020	23	270	9300	-0.000000	-131.736000	-142.000000	-273.736000	0	-270	-116916	90.2	93.0
D:	59.63	1726	9013	23	273	9300	-0.000000	-131.808500	-145.000000	-276.808500	0	-273	-117189	90.13	93.0
D:	64.98	1725	9006	23	276	9300	-0.000000	-131.882750	-148.500000	-280.382750	0	-276	-117465	90.06	93.0
D:	70.35	1752	8999	23	280	9300	-0.000000	-131.958500	-151.500000	-283.458500	0	-280	-117745	89.99	93.0
D:	75.73	1591	8993	23	283	9300	-0.000000	-132.035750	-154.500000	-286.535750	0	-283	-118028	89.93	93.0
D:	81.23	1722	8986	23	286	9300	-0.000000	-132.114500	-157.500000	-289.614500	0	-289	-118314	89.86	93.0
D:	86.61	1791	8980	23	289	9300	-0.000000	-132.194750	-160.500000	-292.694750	0	-292	-118603	89.8	93.0
D:	92.11	1552	8973	23	295	9300	-0.000000	-132.276500	-163.500000	-295.776500	0	-295	-119190	89.73	93.0
D:	97.48	1752	8968	24	298	9300	-0.000000	-132.359500	-166.000000	-298.359500	0	-298	-119488	89.68	93.0
D:	103.00	1730	8962	24	300	9300	-0.000000	-132.529500	-171.500000	-304.029500	0	-300	-119788	89.62	93.0
D:	108.36	1547	8956	24	304	9300	-0.000000	-132.616750	-174.500000	-307.116750	0	-304	-120092	89.56	93.0
D:	113.74	1768	8950	24	307	9300	-0.000000	-132.705250	-177.000000	-309.705250	0	-307	-120399	89.5	93.0
